id,bandname,bandlowervalue,riskscore,notes
41,BioLab and Nuclear Distance Band Template,60.0,3.0,""
42,BioLab and Nuclear Distance Band Template,100.0,1.5,""
43,BioLab and Nuclear Distance Band Template,130.0,1.0,""
44,Epidemic Band Template,0.0,1.0,""
45,Epidemic Band Template,0.8,1.4,""
46,Epidemic Band Template,1.0,2.25,""
47,Epidemic Band Template,1.5,7.0,""
48,Epidemic Band Template,1.75,8.75,""
49,Epidemic Band Template,2.0,9.5,""
50,Epidemic Band Template,2.5,10.0,""
51,Natural Disaster Band Template,0.0,1.0,""
52,Natural Disaster Band Template,7.5,2.0,""
53,Natural Disaster Band Template,12.5,3.5,""
54,Natural Disaster Band Template,20.0,7.0,""
55,Natural Disaster Band Template,25.0,8.8,""
56,Natural Disaster Band Template,30.0,9.5,""
57,Natural Disaster Band Template,60.0,10.0,""
58,Labor Band Template,0.0,1.0,""
59,Labor Band Template,0.2,2.0,""
60,Labor Band Template,0.3,3.0,""
61,Labor Band Template,0.7,8.0,""
62,Labor Band Template,0.8,9.0,""
63,Labor Band Template,1.0,10.0,""
64,Political Band Template,-2.5,10.0,""
65,Political Band Template,-1.0,9.8,""
66,Political Band Template,-0.5,9.0,""
67,Political Band Template,0.0,7.5,""
68,Political Band Template,1.0,2.75,""
69,Political Band Template,1.5,1.5,""
70,Political Band Template,2.4,1.0,""
71,Economic Band Template,0.0,10.0,""
72,Economic Band Template,0.5,9.5,""
73,Economic Band Template,1.0,8.0,""
74,Economic Band Template,1.75,4.0,""
75,Economic Band Template,2.25,2.5,""
76,Economic Band Template,3.0,2.0,""
77,Economic Band Template,12.0,1.0,""
78,Facility Throughput and Storage Utilization Band Template,0.0,1.0,""
79,Facility Throughput and Storage Utilization Band Template,0.5,1.2,""
80,Facility Throughput and Storage Utilization Band Template,0.65,2.0,""
81,Facility Throughput and Storage Utilization Band Template,0.8,8.0,""
82,Facility Throughput and Storage Utilization Band Template,0.9,9.7,""
83,Facility Throughput and Storage Utilization Band Template,1.0,10.0,""
84,Workcenter Utilization Band Template Simulation,0.6,1.0,""
85,Workcenter Utilization Band Template Simulation,0.8,1.5,""
86,Workcenter Utilization Band Template Simulation,0.85,2.0,""
87,Workcenter Utilization Band Template Simulation,0.95,7.0,""
88,Workcenter Utilization Band Template Simulation,0.98,9.0,""
89,Workcenter Utilization Band Template Simulation,1.0,10.0,""
90,Workcenter Utilization Band Template NetOpt,0.5,1.0,""
91,Workcenter Utilization Band Template NetOpt,0.7,1.5,""
92,Workcenter Utilization Band Template NetOpt,0.8,3.0,""
93,Workcenter Utilization Band Template NetOpt,0.9,6.0,""
94,Workcenter Utilization Band Template NetOpt,1.0,10.0,""
95,Product Stocking Point Count Band Template and Make and Supply Count Band Template,1.0,10.0,""
96,Product Stocking Point Count Band Template and Make and Supply Count Band Template,2.0,6.0,""
97,Product Stocking Point Count Band Template and Make and Supply Count Band Template,3.0,3.0,""
98,Product Stocking Point Count Band Template and Make and Supply Count Band Template,4.0,2.0,""
99,Product Stocking Point Count Band Template and Make and Supply Count Band Template,5.0,1.5,""
100,Product Stocking Point Count Band Template and Make and Supply Count Band Template,8.0,1.0,""
101,Transport Time Band Template,0.0,1.0,""
102,Transport Time Band Template,48.0,1.5,""
103,Transport Time Band Template,96.0,2.5,""
104,Transport Time Band Template,240.0,8.5,""
105,Transport Time Band Template,336.0,9.8,""
106,Transport Time Band Template,720.0,10.0,""
107,Time To Import and Export Band Template,0.0,1.0,""
108,Time To Import and Export Band Template,24.0,1.5,""
109,Time To Import and Export Band Template,48.0,3.0,""
110,Time To Import and Export Band Template,96.0,8.0,""
111,Time To Import and Export Band Template,120.0,9.5,""
112,Time To Import and Export Band Template,168.0,10.0,""
