id,scenarioname,tablename,columnname,validationrule,errortype,errormessage,severity,identifiedvalue,action,valuereplaced,count
2426,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,"",1
2427,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,"",1
2428,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,"",1
2429,1. China 2 MFGs Only,ProductionPolicies,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,"",8
2430,1. China 2 MFGs Only,ProductionPolicies,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,"",8
2431,1. China 2 MFGs Only,TransportationPolicies,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,"",1
2432,1. China 2 MFGs Only,TransportationPolicies,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,"",1
2433,1. China 2 MFGs Only,FlowConstraints,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,"",1
2434,1. China 2 MFGs Only,FlowConstraints,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,"",2
2435,1. China 2 MFGs Only,ProductionConstraints,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,"",1
2436,1. China 2 MFGs Only,ProductionConstraints,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,"",1
2437,1. China 2 MFGs Only,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,"",1
2438,1. China 2 MFGs Only,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,"",1
2439,1. China 2 MFGs Only,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,"",1
2440,1. China 2 MFGs Only,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,"",1
2441,1. China 2 MFGs Only,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Incoming Arc (Production, Inventory, Flow) for Outgoing Arc (Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('port_kuala lumpur', 'fg_0001', 'singleperiod')",No Action,"",16
2442,1. China 2 MFGs Only,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Outgoing Arc (Inventory, Flow) for Incoming Arc (Production, Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('dc_detroit', 'rm_0001', 'singleperiod')",No Action,"",6
2443,1. China 2 MFGs Only,"Facilities, Suppliers",Name,Model Element Used,Unused Model Element,Unused Model Element,1: Lowest - Potentially Missing/Incorrect Model,"Example: ('mfg_overflow',)",No Action,"",1
2444,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,,1
2445,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,,1
2446,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,,1
2448,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,,1
2449,1. China 2 MFGs Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,,1
2450,1. China 2 MFGs Only,ProductionPolicies,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,,8
2451,1. China 2 MFGs Only,ProductionPolicies,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,,8
2452,1. China 2 MFGs Only,TransportationPolicies,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,,1
2453,1. China 2 MFGs Only,TransportationPolicies,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,,1
2454,1. China 2 MFGs Only,FlowConstraints,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,,1
2455,1. China 2 MFGs Only,FlowConstraints,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,,2
2456,1. China 2 MFGs Only,ProductionConstraints,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_belo horizonte,Row Dropped,,1
2457,1. China 2 MFGs Only,ProductionConstraints,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_ho chi minh,Row Dropped,,1
2458,1. China 2 MFGs Only,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2459,1. China 2 MFGs Only,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2460,1. China 2 MFGs Only,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2461,1. China 2 MFGs Only,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2462,1. China 2 MFGs Only,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Incoming Arc (Production, Inventory, Flow) for Outgoing Arc (Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('port_kuala lumpur', 'fg_0001', 'singleperiod')",No Action,,16
2463,1. China 2 MFGs Only,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Outgoing Arc (Inventory, Flow) for Incoming Arc (Production, Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('dc_detroit', 'rm_0001', 'singleperiod')",No Action,,6
2464,1. China 2 MFGs Only,"Facilities, Suppliers",Name,Model Element Used,Unused Model Element,Unused Model Element,1: Lowest - Potentially Missing/Incorrect Model,"Example: ('mfg_overflow',)",No Action,,1
2471,3. All 4 MFGs,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2472,3. All 4 MFGs,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2473,3. All 4 MFGs,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2474,3. All 4 MFGs,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2477,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,"",1
2478,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,"",1
2479,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,"",1
2480,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,"",1
2481,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,"",1
2482,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,"",1
2475,3. All 4 MFGs,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Outgoing Arc (Inventory, Flow) for Incoming Arc (Production, Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('dc_detroit', 'rm_0001', 'singleperiod')",No Action,,6
2476,3. All 4 MFGs,"Facilities, Suppliers",Name,Model Element Used,Unused Model Element,Unused Model Element,1: Lowest - Potentially Missing/Incorrect Model,"Example: ('mfg_overflow',)",No Action,,1
2483,2. Brazil and Vietnam MFG Only,ProductionPolicies,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,"",8
2484,2. Brazil and Vietnam MFG Only,ProductionPolicies,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,"",8
2485,2. Brazil and Vietnam MFG Only,TransportationPolicies,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,"",1
2486,2. Brazil and Vietnam MFG Only,TransportationPolicies,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,"",1
2487,2. Brazil and Vietnam MFG Only,FlowConstraints,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,"",2
2488,2. Brazil and Vietnam MFG Only,FlowConstraints,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,"",2
2489,2. Brazil and Vietnam MFG Only,ProductionConstraints,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,"",2
2490,2. Brazil and Vietnam MFG Only,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,"",1
2491,2. Brazil and Vietnam MFG Only,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,"",1
2492,2. Brazil and Vietnam MFG Only,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,"",1
2493,2. Brazil and Vietnam MFG Only,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,"",1
2494,2. Brazil and Vietnam MFG Only,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Incoming Arc (Production, Inventory, Flow) for Outgoing Arc (Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('port_hong kong', 'fg_0001', 'singleperiod')",No Action,"",8
2495,2. Brazil and Vietnam MFG Only,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Outgoing Arc (Inventory, Flow) for Incoming Arc (Production, Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('dc_detroit', 'rm_0001', 'singleperiod')",No Action,"",6
2496,2. Brazil and Vietnam MFG Only,"Facilities, Suppliers",Name,Model Element Used,Unused Model Element,Unused Model Element,1: Lowest - Potentially Missing/Incorrect Model,"Example: ('mfg_overflow',)",No Action,"",1
2497,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,,1
2498,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,,1
2499,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,,1
2500,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,,1
2501,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,,1
2502,2. Brazil and Vietnam MFG Only,Groups,MemberName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,,1
2503,2. Brazil and Vietnam MFG Only,ProductionPolicies,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,,8
2504,2. Brazil and Vietnam MFG Only,ProductionPolicies,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,,8
2505,2. Brazil and Vietnam MFG Only,TransportationPolicies,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,,1
2506,2. Brazil and Vietnam MFG Only,TransportationPolicies,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,,1
2507,2. Brazil and Vietnam MFG Only,FlowConstraints,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,,2
2508,2. Brazil and Vietnam MFG Only,FlowConstraints,OriginName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_shanghai,Row Dropped,,2
2509,2. Brazil and Vietnam MFG Only,ProductionConstraints,FacilityName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,mfg_chengdu,Row Dropped,,2
2510,2. Brazil and Vietnam MFG Only,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2511,2. Brazil and Vietnam MFG Only,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2512,2. Brazil and Vietnam MFG Only,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2513,2. Brazil and Vietnam MFG Only,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2514,2. Brazil and Vietnam MFG Only,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Incoming Arc (Production, Inventory, Flow) for Outgoing Arc (Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('port_hong kong', 'fg_0001', 'singleperiod')",No Action,,8
2515,2. Brazil and Vietnam MFG Only,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Outgoing Arc (Inventory, Flow) for Incoming Arc (Production, Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('dc_detroit', 'rm_0001', 'singleperiod')",No Action,,6
2516,2. Brazil and Vietnam MFG Only,"Facilities, Suppliers",Name,Model Element Used,Unused Model Element,Unused Model Element,1: Lowest - Potentially Missing/Incorrect Model,"Example: ('mfg_overflow',)",No Action,,1
2517,4. Max Emissions Cap,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2518,4. Max Emissions Cap,RiskSummaryConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2519,4. Max Emissions Cap,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template optimization,Row Dropped,,1
2520,4. Max Emissions Cap,SupplierRiskConfigurations,RiskProfileName,Exists in Master Table,Excluded Record,Record has been either excluded or has a master record that has been excluded,0: No Error - For Info Purposes Only,risk profile template simulation,Row Dropped,,1
2521,4. Max Emissions Cap,TransportationPolicies,"FacilityName, ProductName, PeriodName",Arc Existence,Missing Policy,"No Outgoing Arc (Inventory, Flow) for Incoming Arc (Production, Inventory, Flow)",3: Moderate - Potentially Infeasible Model,"Example: ('dc_detroit', 'rm_0001', 'singleperiod')",No Action,,6
2522,4. Max Emissions Cap,"Facilities, Suppliers",Name,Model Element Used,Unused Model Element,Unused Model Element,1: Lowest - Potentially Missing/Incorrect Model,"Example: ('mfg_overflow',)",No Action,,1
