id,option,status,value,technology,description,datatype,uidisplayname,uidisplaycategory,uidisplayorder
49,DistributeReplications,Include,False,[THROG],Horizontally Scale Replications,"[True, False]",Run Replications in Parallel,Basic,30
50,LogThrogProgress,Include,False,[THROG],Print a job record each day,"[True, False]",Log Progress,Basic,31
51,ConfidenceIntervalPercent,Include,0.95,[THROG],Confidence interval for half width stats,double,Confidence Interval Percent,Basic,32
52,RequeueAtMode,Include,False,[THROG],When a set of items does not make an entire shipment should it stay at mode,"[True, False]",Requeue At Mode,Advanced,33
53,NumberOfThreads,Include,3,[THROG],How many replications to run in parallel on a single node,int,Single Node Parallel Instances,Advanced,34
54,IncludeQuantityAlreadySourced,Include,True,[THROG],When sourcing account for quantity that has already been placed at a source,"[True, False]",Include Quantity Already Sourced,Advanced,35
55,NumberOfGenerations,Include,5,[DENDRO],The number of generations that will be calculated before the solver stops,int,Number Of Generations,Basic,36
56,PopulationSize,Include,20,[DENDRO],The number of genes to be used in each generation,int,Number Of Genes Per Generation,Basic,37
63,NumberOfOffsprings,Include,20,[DENDRO],This specifies how many chromosomes will be evaluated in generations 2 - n,int,Number Of Offsprings,Basic,38
57,MutationProbability,Include,10,[DENDRO],The probability that a gene factor will be mutated,double,Mutation Probability,Basic,39
58,MaxValuesToMutate,Include,5,[DENDRO],The maximum number of gene factors that may be mutated,int,Max Values To Mutate,Basic,40
59,CrossoverProbability,Include,90,[DENDRO],The probability that crossover will occur between genes,double,Crossover Probability,Basic,41
60,PointsToCrossover,Include,2,[DENDRO],The number of points to crossover,int,Number Of Crossovers,Basic,42
2,CheckInfeasibility,Include,False,[NEO],Set to True with infeasible model and look for Constraint Summary in outputs for details on why model is infeasible,"[True, False]",Check Infeasibility,Basic,5
61,RandomSeed,Include,"",[DENDRO],Seed the random number generator of the algorithm,double,Random Seed,Basic,43
62,FitnessScoreCalculator,Include,"",[DENDRO],"This can be set to a class name in the code to use a customized approach, leave blank to use the built-in-data from Output Factors table",String,Fitness Score Calculator,Basic,44
41,QueueDepthReporting,Include,None,[THROG],Control which queue depth outputs are printed for work centers. End Of Day will print an output record at the end of each day for all queues. All Changes will print a record any time a queue depth changes.,"[End Of Day Only, All Changes Only, End Of Day And All Changes, None]",Queue Depth Reporting,Basic,27
